"lam","Fobar","oza","ag","aw"
756,1.2848929787234,0.0102018461538462,0,0.602
757,1.28926872340426,0.0099983076923077,0,0.602
758,1.28148957446808,0.00979476923076923,0,0.602
759,1.27772361702128,0.00959123076923077,0,0.602
760,1.28009595744681,0.0093876923076923,0,0.602
761,1.26553936170213,0.00918415384615385,0,0.602
762,1.25697333333333,0.00898061538461539,0,0.602
763,1.27080829787234,0.00877707692307692,0,0.602
764,1.27576574468085,0.00857353846153846,0,0.602
765,1.26707322580645,0.00837,0,0.602
766,1.21387127659574,0.0083348,0,0.602
767,1.24492,0.0082996,0,0.602
768,1.25813425531915,0.0082644,0,0.602
769,1.24511021505376,0.0082292,0,0.602
770,1.24280957446809,0.008194,0,0.602
771,1.24173096774194,0.0081588,0,0.602
772,1.23712129032258,0.0081236,0,0.602
773,1.23181481798715,0.0080884,0,0.602
774,1.21995186295503,0.0080532,0,0.602
775,1.20808890792291,0.008018,0,0.602
776,1.19622595289079,0.0079828,0,0.602
777,1.18436299785867,0.0079476,0,0.602
778,1.17808301075269,0.0079124,0,0.602
779,1.18622064516129,0.0078772,0,0.602
780,1.17650096774193,0.007842,0,0.602
781,1.17996333333333,0.0078068,0,0.602
782,1.18716935483871,0.0077716,0,0.602
783,1.17058387096774,0.0077364,0,0.602
784,1.16335225806452,0.0077012,0,0.602
785,1.17238983870968,0.007666,0,0.602
786,1.17314790322581,0.0076308,0,0.602
787,1.17082892473118,0.0075956,0,0.602
788,1.16790956989247,0.0075604,0,0.602
789,1.1697175,0.0075252,0,0.602
790,1.17174935483871,0.00749,0,0.602
791,1.15963709677419,0.0074548,0,0.602
792,1.14909784946237,0.0074196,0,0.602
793,1.12939934782609,0.0073844,0,0.602
794,1.11835576086957,0.0073492,0,0.602
